"","country","neet_male","relative_wc_male","mismatch_male","workingpov_male","underemp_male","informal_male","elementary_male","nosecondary_male","literacy_male","test_scores_male","country_code","transition_mean_male","working_conditions_mean_male","education_mean_male","transition_geom_male","working_conditions_geom_male","education_geom_male","index_mean_male","index_geom_male","neet_female","relative_wc_female","mismatch_female","workingpov_female","underemp_female","informal_female","elementary_female","nosecondary_female","literacy_female","test_scores_female","transition_mean_female","working_conditions_mean_female","education_mean_female","transition_geom_female","working_conditions_geom_female","education_geom_female","index_mean_female","index_geom_female","neet","relative_wc","mismatch","workingpov","underemp","informal","elementary","nosecondary","literacy","test_scores","transition_mean","working_conditions_mean","education_mean","transition_geom","working_conditions_geom","education_geom","index_mean","index_geom"
"21","Myanmar",91.7861,43.6344792294404,83.0642321737686,96.192980661,95.1423,6.2,69.0963981035168,68.7,85.11967,36.3076923076923,"MMR",72.8282704677363,66.6579196911292,63.3757874358974,69.290483162796,44.4980553195511,59.6570496631953,67.6206591982543,56.871165801397,81.415,80.8867567954892,69.4566536736374,96.678483821,96.3087,5.8,76.9004683548533,65.2,84.41379,40.3076923076923,77.2528034897089,68.9219130439633,63.3071607692308,77.0486857431786,45.1427573436993,60.5363608863688,69.827292434301,59.491722369622,86.3988,61.5810365269813,73.5291810991681,96.396590796,95.6728,6,72.6248602558759,66.95,84.75116,38.4615384615385,73.8363392087164,67.673562762969,63.3875661538462,73.1371688639387,44.7735654405192,60.2061645876406,68.2991560418439,58.2014219657276
"22","Lao People's Democratic Republic",60.9285,75.8700655016019,92.6307443099056,87.24459548,97.6474,9,82.9778310447745,NA,94.40438,19.3846153846154,"LAO",76.4764366038358,69.2174566311936,56.8944976923077,75.3729244931458,50.2228034364619,42.7784127443162,67.5294636424457,54.5063367092791,55.0824,38.6663880172338,89.2193668159863,87.37592556,97.5859,10.8,94.0336485685809,NA,90.50107,22.7692307692308,60.9893849444067,72.4488685321452,56.6351503846154,57.491265095597,54.2464691911122,45.3942699874368,63.3578012870558,52.1184461475723,57.9248,62.874000202001,91.1627373948674,87.31255987,97.6159,9.90000000000001,88.6304920829868,NA,92.46264,20.9230769230769,70.6538458656228,70.8647379882467,56.6928584615385,69.2443480847776,52.2942465110413,43.9841213306662,66.0704807718027,54.2056704459202
"23","Angola",92.387,NA,58.4143840577778,63.52858162,NA,NA,83.5640379179542,64,84.86238,8.30769230769231,"AGO",75.4006920288889,73.5463097689771,52.3900241025641,73.462437340085,72.8608592000364,35.6006992504737,67.11234196681,57.5447953559279,87.7704,NA,43.4587513685439,67.27675061,NA,NA,NA,53.3,70.58513,7.69230769230769,65.614575684272,NA,43.8591458974359,61.7607641720668,NA,30.7019310396078,NA,NA,89.9911,NA,50.6744693140836,65.50099421,NA,NA,91.6301105118431,58.65,77.43113,8,70.3327846570418,78.5655523609215,48.0270433333333,67.5296322771761,77.4716937861687,33.1200665088573,65.6417934504322,55.7497441644347
"24","Honduras",88.4382,80.904253798133,80.3132817246221,83.89117367,90.5048,10.1,47.9470526085577,53.7,94.89199,31.0769230769231,"HND",83.2185785075851,58.1107565696394,59.8896376923077,83.1379939593341,43.789278864919,54.1020785957297,67.0729909231774,58.1826853596774,57.7765,100,83.9344362894891,93.088016057,81.3742,13.5,72.8443618959633,60.7,98.1851,30.4615384615385,80.5703120964964,65.2016444882408,63.1155461538462,78.565245002385,52.2429334386155,56.623325305207,69.6291675795278,61.4824452061772,73.3187,91.2903096840085,78.6431783049396,86.87999005,87.7238,11.2,56.023227769684,57.2,96.51584,30.7692307692308,81.0840626629827,60.456754454921,61.4950235897436,80.742123000868,46.7633738808318,55.3822277008015,67.6786135692158,59.3552047484701
"25","Nicaragua",98.8457,63.3821174140571,89.2020898038243,87.92302832,74.9653,11.1,NA,NA,89.64283,28.3076923076923,"NIC",83.8099690726271,57.99610944,58.9752611538462,82.369516739518,41.8242954087158,50.3744146291624,66.9271132221578,55.7786999670597,98.3228,89.0088336026268,88.8525381179607,96.254229096,63.8771,22.1,NA,NA,93.60194,28.3076923076923,92.0613905735292,60.7437763653333,60.9548161538462,91.9571978035943,51.4105710976621,51.4747988526723,71.2533276975695,62.4325305521633,98.5808,71.5300982208037,84.3207721319666,90.155704405,70.6566,14.4,NA,NA,91.57178,28.3076923076923,84.8105567842567,58.4041014683333,59.9397361538462,84.0888819501816,45.0992665979753,50.9135126691107,67.7181314688121,57.7981191935599
"26","Pakistan",92.4546,74.2908433136711,79.4774787904663,97.566088887,98.9086,12.1,78.8073259697636,47.9,81.26352,10.7692307692308,"PAK",82.0743073680458,71.8455037141909,46.6442502564103,81.7277039437688,55.0771206766736,34.738037181677,66.8546871128823,53.8743364229963,45.0572,85.4268316205448,64.6350818569992,97.342854182,98.8028,7.7,86.3219770870106,35.2,67.53713,13.2307692307692,65.0397044925147,72.5419078172526,38.6559664102564,62.8939591185531,50.2830205235304,31.5662835349039,58.7458595733412,46.3893102407332,69.0416,76.9210980528664,76.4910714643361,97.517816601,98.8844,11.1,80.5206662773026,41.55,74.52638,12,74.1512565057342,72.0057207195756,42.6921266666667,74.0609063033098,54.1826850091061,33.3698381499791,62.9497012973255,51.1604726850062
"27","Senegal",71.2894,97.0829112601938,NA,61.43667183,95.4,0.599999999999994,88.9391875979152,51.3,75.57641,36,"SEN",84.1861556300969,61.5939648569788,54.2921366666667,83.1924425293095,23.6485826012748,51.8722844569343,66.6907523845808,46.7313279108805,57.2302,93.2249775750483,89.5843467525247,56.1248737,84.95,0.5,59.462399543817,48.5,63.50271,33.2307692307692,80.0131747758577,50.2593183109543,48.4111597435897,78.1861618380848,19.4036216941109,46.7761848943438,59.5612176101339,41.401158779334,63.7608,96.3368812137515,82.375335392813,59.33727296,91.46,0.599999999999994,76.1295830327481,49.9,69.47841,34.4615384615385,80.8243388688548,56.881713998187,51.2799828205128,79.6858443160634,22.3134061412235,49.2525090507293,62.9953452291849,44.4077193328923
"28","Bangladesh",90.1892,83.394427329536,69.0959467268004,90.250345509,96.3197,2.40000000000001,83.2471182592289,40,91.80372,20.6153846153846,"BGD",80.8931913521121,68.0542909420572,50.8063682051282,80.3985184275653,36.3024646497091,42.302941907796,66.5846168330992,49.7949051286663,55.4499,81.6977880548934,75.5965888834199,88.33644007,95.2906,1.8,87.3137963220708,65.4,94.91259,21.5384615384615,70.9147589794378,68.1852090980177,60.6170171794872,69.9634292667899,33.914571387933,51.1334878611665,66.5723284189809,49.5055944194233,72.6137,82.7423473323846,70.9792852210964,89.6844976,95.9964,2.2,84.5248016490559,50.95,93.29644,20.9230769230769,75.4451108511603,68.101424812264,55.0565056410256,75.2707092916007,35.5708949380629,46.3317037531161,66.20101376815,49.8730992213866
"29","Afghanistan",81.7456,85.2584140800776,84.9469917244571,53.16030956,77.3203,NA,78.3116115653641,41.4,74.0848,17.8461538461538,"AFG",83.9836686015116,69.597407041788,44.4436512820513,83.9685292636467,68.5334188728688,37.9686097584603,66.0082423084503,60.230233457445,34.1057,91.9090436774554,66.1741477252716,46.61258705,69.8647,NA,95.9389173314373,16.2,56.25475,15.3846153846154,64.062963800909,70.8054014604791,29.2797884615385,59.1958403856936,67.8555340687966,24.1131317444672,54.7160512409755,45.9243862373554,57.9925,86.6386557710331,81.4493554985783,51.6198855,75.5285,NA,82.5477663334958,28.8,65.42055,16.9230769230769,75.3601704232038,69.8987172778319,37.0478756410256,74.2432650490002,68.5295280466076,31.7099338283997,60.7689211140205,54.4389884115238
"30","Egypt",80.4486,50.9408885943511,76.0499985547194,99.362829223,97.4939,9.40000000000001,92.4242510571375,NA,89.48338,13.5384615384615,"EGY",69.1464957163568,74.6702450700344,51.5109207692308,67.7997468663671,53.8615437234111,34.8061388042618,65.1092205185407,50.2791089228603,65.0275,60.5284972655403,61.4816198697619,99.393132991,98.9654,19.4,97.5904529147975,81.1,86.81055,20.9230769230769,62.3458723784341,78.8372464764494,62.9445423076923,62.3161695611042,65.6919580734509,52.8128540678569,68.0425537208586,60.0183702627026,73.1255,48.2832863050427,70.0454460527991,99.371078999,97.7019,12.1,92.1600486118957,NA,88.19256,17.2307692307692,63.818077452614,75.3332569027239,52.7116646153846,62.7694791870024,57.3617998930762,38.9823761362846,63.9543329902408,51.9692601743997
"31","Ghana",72.3256,67.939708180765,65.7600493681554,87.58781067,83.4709,6.5,88.9540672795271,80.4,92.761,2.46153846153846,"GHA",68.6751191829735,66.6281944873818,58.5408461538462,68.6213541919474,45.3434419341108,26.380075380902,64.6147199414005,43.459354018882,66.7314,87.1275492514908,78.4879942218236,88.75813104,83.0624,8.3,93.2948626974831,76.3,92.20855,1.84615384615385,77.4489811577715,68.3538484343708,56.7849012820513,76.9891730931171,48.8806656715034,23.5064947868928,67.5292436247312,44.557232999937,69.5398,78.3331340075374,73.0303781531853,88.12388858,83.2625,7.40000000000001,91.1689397361053,76.95,92.49097,2.15384615384615,73.6344373869076,67.4888320790263,57.1982720512821,73.5463001345728,47.1688655039469,24.8412938659513,66.1071805057387,44.1702805447172
"32","Liberia",91.0804,95.4968047363879,NA,53.86900662,74.5719,5.09999999999999,89.4218656064868,57.8,64.95713,10.7692307692308,"LBR",93.2886023681939,55.7406930566217,44.5087869230769,93.2624639075771,36.7901890469619,34.3225687285887,64.5126941159642,49.0161913326596,83.312,95.4193630129917,NA,55.01640964,80.1755,4,78.7804644577382,52.6,45.63871,8.61538461538461,89.3656815064958,54.4930935244345,35.6180315384615,89.1604058500092,34.3362697809321,27.4492990240184,59.8256021897973,43.8011455741586,86.8466,95.8993599538648,NA,54.41298902,77.0995,4.59999999999999,89.806709422356,50.2,55.3987,9.84615384615385,91.3729799769324,56.479799610589,38.4816179487179,91.2607985619746,36.2831671987571,30.1409291434635,62.1114658454131,46.3854773512627
"33","Sierra Leone",90.5183,83.9613154658732,NA,49.02358004,85.973,6.2,85.7483082327538,67.1,70.57611,5.53846153846154,"SLE",87.2398077329366,56.7362220681884,47.7381905128205,87.178182716403,38.6897647183629,29.7114007513108,63.9047401046485,46.4489259173314,89.3549,93.9536137987039,NA,46.35326247,89.5102,8.8,84.8380655821228,56.4,62.69922,4.30769230769231,91.654256899352,57.3753820130307,41.1356374358974,91.6254100434034,41.9523763354985,24.7891692267041,63.3884254494267,45.6749579767508,89.9098,89.87956038461,NA,47.39631297,88.2253,7.5,85.3094395094517,60.2,66.6486,4.92307692307692,89.894680192305,57.1077631198629,43.9238923076923,89.8946789207693,40.4435261675892,27.0317843857862,63.6421118732868,46.1479667762192
"34","India",85.7421,NA,76.4698880620319,85.84329849,NA,3.59999999999999,NA,87.7,92.99297,14.4615384615385,"IND",81.105994031016,44.721649245,65.0515028205128,80.9733832145079,17.5794162179522,49.0404826991873,63.6263820321763,41.1750204402866,51.7482,NA,50.1058700299738,83.45578444,NA,4.7,NA,80.9,90.16941,19.0769230769231,50.9270350149869,44.07789222,63.382111025641,50.920414211641,19.8051050708649,51.8209486888281,52.7956794202093,37.387361106049,69.5854,NA,71.2506841286472,85.44511257,NA,3.8,NA,84.3,91.66404,16.9230769230769,70.4180420643236,44.622556285,64.2957056410256,70.4131191992342,18.0191960910025,50.7577036594347,59.7787679967831,40.0833170180996
