ref_area.label,indicator.label,source.label,classif1.label,time,obs_value,note_indicator.label,note_source.label
"Korea, Republic of",Statutory nominal gross monthly minimum wage,KOR - ADM - Labour legislation,Currency: U.S. dollars,2003,431.47,Currency: KOR - South Korean won (KRW) | Type of minimum wage: Singular national minimum wage,Data reference period: End of the year
"Korea, Republic of",Statutory nominal gross monthly minimum wage,KOR - ADM - Labour legislation,Currency: 2017 PPP $,2004,639.37,Currency: KOR - South Korean won (KRW) | Type of minimum wage: Singular national minimum wage,Data reference period: End of the year
"Korea, Republic of",Statutory nominal gross monthly minimum wage,KOR - ADM - Labour legislation,Currency: U.S. dollars,2004,495.29,Currency: KOR - South Korean won (KRW) | Type of minimum wage: Singular national minimum wage,Data reference period: End of the year
"Korea, Republic of",Statutory nominal gross monthly minimum wage,KOR - ADM - Labour legislation,Currency: 2017 PPP $,2005,729.89,Currency: KOR - South Korean won (KRW) | Type of minimum wage: Singular national minimum wage,Data reference period: End of the year
"Korea, Republic of",Statutory nominal gross monthly minimum wage,KOR - ADM - Labour legislation,Currency: U.S. dollars,2005,626.73,Currency: KOR - South Korean won (KRW) | Type of minimum wage: Singular national minimum wage,Data reference period: End of the year
"Korea, Republic of",Statutory nominal gross monthly minimum wage,KOR - ADM - Labour legislation,Currency: 2017 PPP $,2006,803.79,Currency: KOR - South Korean won (KRW) | Type of minimum wage: Singular national minimum wage,Data reference period: End of the year
"Korea, Republic of",Statutory nominal gross monthly minimum wage,KOR - ADM - Labour legislation,Currency: U.S. dollars,2006,733.77,Currency: KOR - South Korean won (KRW) | Type of minimum wage: Singular national minimum wage,Data reference period: End of the year
"Korea, Republic of",Statutory nominal gross monthly minimum wage,KOR - ADM - Labour legislation,Currency: 2017 PPP $,2007,907.4,Currency: KOR - South Korean won (KRW) | Type of minimum wage: Singular national minimum wage,Data reference period: End of the year
"Korea, Republic of",Statutory nominal gross monthly minimum wage,KOR - ADM - Labour legislation,Currency: U.S. dollars,2007,846.35,Currency: KOR - South Korean won (KRW) | Type of minimum wage: Singular national minimum wage,Data reference period: End of the year
"Korea, Republic of",Statutory nominal gross monthly minimum wage,KOR - ADM - Labour legislation,Currency: 2017 PPP $,2008,965.91,Currency: KOR - South Korean won (KRW) | Type of minimum wage: Singular national minimum wage,Data reference period: End of the year
"Korea, Republic of",Statutory nominal gross monthly minimum wage,KOR - ADM - Labour legislation,Currency: U.S. dollars,2008,773.13,Currency: KOR - South Korean won (KRW) | Type of minimum wage: Singular national minimum wage,Data reference period: End of the year
"Korea, Republic of",Statutory nominal gross monthly minimum wage,KOR - ADM - Labour legislation,Currency: 2017 PPP $,2009,1004.23,Currency: KOR - South Korean won (KRW) | Type of minimum wage: Singular national minimum wage,Data reference period: End of the year
"Korea, Republic of",Statutory nominal gross monthly minimum wage,KOR - ADM - Labour legislation,Currency: U.S. dollars,2009,707.95,Currency: KOR - South Korean won (KRW) | Type of minimum wage: Singular national minimum wage,Data reference period: End of the year
"Korea, Republic of",Statutory nominal gross monthly minimum wage,KOR - ADM - Labour legislation,Currency: 2017 PPP $,2010,1023.51,Currency: KOR - South Korean won (KRW) | Type of minimum wage: Singular national minimum wage,Data reference period: End of the year
"Korea, Republic of",Statutory nominal gross monthly minimum wage,KOR - ADM - Labour legislation,Currency: U.S. dollars,2010,803.47,Currency: KOR - South Korean won (KRW) | Type of minimum wage: Singular national minimum wage,Data reference period: End of the year
"Korea, Republic of",Statutory nominal gross monthly minimum wage,KOR - ADM - Labour legislation,Currency: 2017 PPP $,2011,989.98,Currency: KOR - South Korean won (KRW) | Type of minimum wage: Singular national minimum wage,Data reference period: End of the year
"Korea, Republic of",Statutory nominal gross monthly minimum wage,KOR - ADM - Labour legislation,Currency: U.S. dollars,2011,814.66,Currency: KOR - South Korean won (KRW) | Type of minimum wage: Singular national minimum wage,Data reference period: End of the year
"Korea, Republic of",Statutory nominal gross monthly minimum wage,KOR - ADM - Labour legislation,Currency: 2017 PPP $,2012,1046.22,Currency: KOR - South Korean won (KRW) | Type of minimum wage: Singular national minimum wage,Data reference period: End of the year
"Korea, Republic of",Statutory nominal gross monthly minimum wage,KOR - ADM - Labour legislation,Currency: U.S. dollars,2012,849.75,Currency: KOR - South Korean won (KRW) | Type of minimum wage: Singular national minimum wage,Data reference period: End of the year
"Korea, Republic of",Statutory nominal gross monthly minimum wage,KOR - ADM - Labour legislation,Currency: 2017 PPP $,2013,1040.36,Currency: KOR - South Korean won (KRW) | Type of minimum wage: Singular national minimum wage,Data reference period: End of the year
"Korea, Republic of",Statutory nominal gross monthly minimum wage,KOR - ADM - Labour legislation,Currency: U.S. dollars,2013,927.74,Currency: KOR - South Korean won (KRW) | Type of minimum wage: Singular national minimum wage,Data reference period: End of the year
"Korea, Republic of",Statutory nominal gross monthly minimum wage,KOR - ADM - Labour legislation,Currency: 2017 PPP $,2014,1094.63,Currency: KOR - South Korean won (KRW) | Type of minimum wage: Singular national minimum wage,Data reference period: End of the year
"Korea, Republic of",Statutory nominal gross monthly minimum wage,KOR - ADM - Labour legislation,Currency: U.S. dollars,2014,1034.12,Currency: KOR - South Korean won (KRW) | Type of minimum wage: Singular national minimum wage,Data reference period: End of the year
"Korea, Republic of",Statutory nominal gross monthly minimum wage,KOR - ADM - Labour legislation,Currency: 2017 PPP $,2015,1215.22,Currency: KOR - South Korean won (KRW) | Type of minimum wage: Singular national minimum wage,Data reference period: End of the year
"Korea, Republic of",Statutory nominal gross monthly minimum wage,KOR - ADM - Labour legislation,Currency: U.S. dollars,2015,1031,Currency: KOR - South Korean won (KRW) | Type of minimum wage: Singular national minimum wage,Data reference period: End of the year
"Korea, Republic of",Statutory nominal gross monthly minimum wage,KOR - ADM - Labour legislation,Currency: 2017 PPP $,2016,1302.93,Currency: KOR - South Korean won (KRW) | Type of minimum wage: Singular national minimum wage,Data reference period: End of the year
"Korea, Republic of",Statutory nominal gross monthly minimum wage,KOR - ADM - Labour legislation,Currency: U.S. dollars,2016,1086.03,Currency: KOR - South Korean won (KRW) | Type of minimum wage: Singular national minimum wage,Data reference period: End of the year
"Korea, Republic of",Statutory nominal gross monthly minimum wage,KOR - ADM - Labour legislation,Currency: 2017 PPP $,2017,1367.95,Currency: KOR - South Korean won (KRW) | Type of minimum wage: Singular national minimum wage,Data reference period: End of the year
"Korea, Republic of",Statutory nominal gross monthly minimum wage,KOR - ADM - Labour legislation,Currency: U.S. dollars,2017,1196.21,Currency: KOR - South Korean won (KRW) | Type of minimum wage: Singular national minimum wage,Data reference period: End of the year
"Korea, Republic of",Statutory nominal gross monthly minimum wage,KOR - ADM - Labour legislation,Currency: 2017 PPP $,2018,1590.21,Currency: KOR - South Korean won (KRW) | Type of minimum wage: Singular national minimum wage,Data reference period: End of the year
"Korea, Republic of",Statutory nominal gross monthly minimum wage,KOR - ADM - Labour legislation,Currency: U.S. dollars,2018,1430.05,Currency: KOR - South Korean won (KRW) | Type of minimum wage: Singular national minimum wage,Data reference period: End of the year
"Korea, Republic of",Statutory nominal gross monthly minimum wage,KOR - ADM - Labour legislation,Currency: U.S. dollars,2019,1497.52,Currency: KOR - South Korean won (KRW) | Type of minimum wage: Singular national minimum wage,Data reference period: End of the year
Kuwait,Statutory nominal gross monthly minimum wage,KWT - ADM - Labour legislation,Currency: 2017 PPP $,2010,342.32,Currency: KWT - Kuwaiti dinar (KWD),Repository: Media Reports | Institutional sector coverage: Private sector only
Kuwait,Statutory nominal gross monthly minimum wage,KWT - ADM - Labour legislation,Currency: U.S. dollars,2010,209.35,Currency: KWT - Kuwaiti dinar (KWD),Repository: Media Reports | Institutional sector coverage: Private sector only
Kuwait,Statutory nominal gross monthly minimum wage,KWT - ADM - Labour legislation,Currency: 2017 PPP $,2011,336.83,Currency: KWT - Kuwaiti dinar (KWD),Repository: Media Reports | Institutional sector coverage: Private sector only
Kuwait,Statutory nominal gross monthly minimum wage,KWT - ADM - Labour legislation,Currency: U.S. dollars,2011,217.41,Currency: KWT - Kuwaiti dinar (KWD),Repository: Media Reports | Institutional sector coverage: Private sector only
Kuwait,Statutory nominal gross monthly minimum wage,KWT - ADM - Labour legislation,Currency: 2017 PPP $,2017,400.15,Currency: KWT - Kuwaiti dinar (KWD),Institutional sector coverage: Private sector only
Kuwait,Statutory nominal gross monthly minimum wage,KWT - ADM - Labour legislation,Currency: U.S. dollars,2017,247.24,Currency: KWT - Kuwaiti dinar (KWD),Institutional sector coverage: Private sector only
Kuwait,Statutory nominal gross monthly minimum wage,KWT - ADM - Labour legislation,Currency: 2017 PPP $,2018,407.71,Currency: KWT - Kuwaiti dinar (KWD),Institutional sector coverage: Private sector only
Kuwait,Statutory nominal gross monthly minimum wage,KWT - ADM - Labour legislation,Currency: U.S. dollars,2018,248.38,Currency: KWT - Kuwaiti dinar (KWD),Institutional sector coverage: Private sector only
Kuwait,Statutory nominal gross monthly minimum wage,KWT - ADM - Labour legislation,Currency: U.S. dollars,2019,247.03,Currency: KWT - Kuwaiti dinar (KWD),Institutional sector coverage: Private sector only
Lao People's Democratic Republic,Statutory nominal gross monthly minimum wage,LAO - ADM - Labour legislation,Currency: 2017 PPP $,2000,51.25,Currency: LAO - Kip (LAK),Repository: Media Reports | Institutional sector coverage: Private sector only
Lao People's Democratic Republic,Statutory nominal gross monthly minimum wage,LAO - ADM - Labour legislation,Currency: U.S. dollars,2000,11.87,Currency: LAO - Kip (LAK),Repository: Media Reports | Institutional sector coverage: Private sector only
Lao People's Democratic Republic,Statutory nominal gross monthly minimum wage,LAO - ADM - Labour legislation,Currency: 2017 PPP $,2001,48.88,Currency: LAO - Kip (LAK),Repository: Media Reports | Institutional sector coverage: Private sector only
Lao People's Democratic Republic,Statutory nominal gross monthly minimum wage,LAO - ADM - Labour legislation,Currency: U.S. dollars,2001,10.45,Currency: LAO - Kip (LAK),Repository: Media Reports | Institutional sector coverage: Private sector only
Lao People's Democratic Republic,Statutory nominal gross monthly minimum wage,LAO - ADM - Labour legislation,Currency: 2017 PPP $,2002,44.88,Currency: LAO - Kip (LAK),Repository: Media Reports | Institutional sector coverage: Private sector only
Lao People's Democratic Republic,Statutory nominal gross monthly minimum wage,LAO - ADM - Labour legislation,Currency: U.S. dollars,2002,9.31,Currency: LAO - Kip (LAK),Repository: Media Reports | Institutional sector coverage: Private sector only
Lao People's Democratic Republic,Statutory nominal gross monthly minimum wage,LAO - ADM - Labour legislation,Currency: 2017 PPP $,2003,39.74,Currency: LAO - Kip (LAK),Repository: Media Reports | Institutional sector coverage: Private sector only
Lao People's Democratic Republic,Statutory nominal gross monthly minimum wage,LAO - ADM - Labour legislation,Currency: U.S. dollars,2003,8.86,Currency: LAO - Kip (LAK),Repository: Media Reports | Institutional sector coverage: Private sector only
Lao People's Democratic Republic,Statutory nominal gross monthly minimum wage,LAO - ADM - Labour legislation,Currency: 2017 PPP $,2004,36.94,Currency: LAO - Kip (LAK),Repository: Media Reports | Institutional sector coverage: Private sector only
